"vianetz modules","vianetz-Module"
"Send Customer Email","Email an Kunden"
"New Order Status","Neuer Bestellstatus"
"Generate Invoice","Rechnung generieren"
"Generate Shipment","Lieferschein generieren"
"Invoice automatically generated.","Rechnung automatisch generiert."
"Activated for Payment Methods","Aktiviert f&uuml;r Zahlungsarten"
"Use Order Comment as Invoice Comment","Bestellkommentar als Rechnungskommentar verwenden"
"Save Invoice PDF","Rechnungs-PDF speichern"
"The invoice PDF document will be stored in media/invoices folder of your Magento installation.","Die PDF-Rechnungen werden im Ordner media/invoices der Magento-Installation gespeichert."
"Get license keys in your <a href=""http://www.vianetz.com/shop/en/licensecheck/customer/licenses/"" target=""blank"">VIANETZ shop account.</a>","Den Lizenz-Schl&uuml;ssel erhalten Sie in Ihrem <a href=""http://www.vianetz.com/shop/de/licensecheck/customer/licenses/"" target=""blank"">VIANETZ-Shop Benutzerkonto.</a>"
"Activated for Product Types","Aktiviert f&uuml;r Produkttypen"
"Capture Invoice Online","Rechnung online erfassen"
"If set to ""yes"" the invoice will be sent to your payment provider. Otherwise it will be a regular Magento offline invoice.","Wenn diese Option aktiviert ist, werden die Rechnungsdaten an den jeweiligen Zahlungsanbieter gesendet. Anderenfalls wird eine reguläre Magento Offline Rechnung erstellt."
"Invoice","Rechnung"
"Shipment","Sendung"
